method,axis,level,metric,mean,std,n,unit,availability
proposed,demand_multiplier,1.15,peak_admission_pressure,2.826808482849705,0.0,1,pending_over_capacity,available
proposed,demand_multiplier,1.15,admitted_full_service_ratio,0.9999999999999999,0.0,1,fraction,available
proposed,demand_multiplier,1.15,pending_full_service_ratio,0.7693049906500256,0.0,1,fraction,available
proposed,demand_multiplier,1.15,pending_energy_kwh,11436.514315862085,0.0,1,kWh,available
proposed,demand_multiplier,1.15,admitted_energy_kwh,8798.167538833164,0.0,1,kWh,available
proposed,demand_multiplier,1.15,peak_queued_energy_kwh,1081.412569742209,0.0,1,kWh,available
proposed,demand_multiplier,1.15,mean_queued_energy_kwh,439.7244628381534,0.0,1,kWh,available
proposed,demand_multiplier,1.15,final_queued_energy_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.15,queue_cleared_by_end,1.0,0.0,1,boolean,available
proposed,demand_multiplier,1.15,queue_clearance_period,5.0,0.0,1,period_index,available
proposed,demand_multiplier,1.15,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,1,hours,available
proposed,demand_multiplier,1.15,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.15,grid_energy_kwh,7933.195050944295,0.0,1,kWh,available
proposed,demand_multiplier,1.15,peak_grid_import_kwh,1998.5380034672141,0.0,1,kWh_per_period,available
proposed,demand_multiplier,1.15,pv_utilization,1.0,0.0,1,fraction,available
proposed,demand_multiplier,1.15,battery_throughput_kwh,1687.3935405204493,0.0,1,kWh,available
proposed,demand_multiplier,1.15,energy_cost_gbp,2011.2988666745714,0.0,1,GBP,available
proposed,demand_multiplier,1.15,mean_access_min,11.16649701839455,0.0,1,min,available
proposed,demand_multiplier,1.15,p95_access_min,12.158428490697311,0.0,1,min,available
proposed,demand_multiplier,1.15,mean_detour_min,2.604902546114253,0.0,1,min,available
proposed,demand_multiplier,1.15,p95_detour_min,3.6274265693840086,0.0,1,min,available
proposed,demand_multiplier,1.15,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,demand_multiplier,1.15,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,demand_multiplier,1.15,outside_nll,0.6594039682072143,0.0,1,nll,available
proposed,demand_multiplier,1.15,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
proposed,demand_multiplier,1.15,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,demand_multiplier,1.15,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,demand_multiplier,1.15,exact_oracle_gap,,0.0,0,scaled_reward,missing
proposed,grid_cap_multiplier,0.85,return,5.02261299594166,0.0,1,scaled_reward,available
proposed,grid_cap_multiplier,0.85,profit_gbp,1758.834529059912,0.0,1,GBP,available
proposed,grid_cap_multiplier,0.85,welfare_gbp,1758.834529059912,0.0,1,GBP_weighted_hub_profit,available
proposed,grid_cap_multiplier,0.85,weighted_hub_profit_welfare,1758.834529059912,0.0,1,GBP_weighted_hub_profit,available
proposed,grid_cap_multiplier,0.85,profit,1758.834529059912,0.0,1,GBP,available
proposed,grid_cap_multiplier,0.85,served_requests,327.5439802667465,0.0,1,requests,available
proposed,grid_cap_multiplier,0.85,outside_requests,52.06416833749773,0.0,1,requests,available
proposed,grid_cap_multiplier,0.85,outside_share,0.13599814104824,0.0,1,fraction,available
proposed,grid_cap_multiplier,0.85,mean_wait_min,44.441609541177435,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,p95_wait_min,89.80388221441149,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,max_wait_min,204.1638299427396,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,wait_violation_rate,0.25,0.0,1,fraction_of_hub_periods,available
proposed,grid_cap_multiplier,0.85,mean_wait_excess_min,35.951270957640695,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,wait_violation,10.471443578881216,0.0,1,hub_hours,available
proposed,grid_cap_multiplier,0.85,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,unmet,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,pending_requests,452.58914074904965,0.0,1,requests,available
proposed,grid_cap_multiplier,0.85,admitted_requests,327.54398026674653,0.0,1,requests,available
proposed,grid_cap_multiplier,0.85,admission_ratio,0.7237115316656751,0.0,1,fraction,available
proposed,grid_cap_multiplier,0.85,minimum_admission_ratio,0.22713177656837297,0.0,1,fraction,available
proposed,grid_cap_multiplier,0.85,peak_admission_pressure,4.40273049904566,0.0,1,pending_over_capacity,available
proposed,grid_cap_multiplier,0.85,admitted_full_service_ratio,0.9999999999999998,0.0,1,fraction,available
proposed,grid_cap_multiplier,0.85,pending_full_service_ratio,0.7237115316656749,0.0,1,fraction,available
proposed,grid_cap_multiplier,0.85,pending_energy_kwh,11314.728518726239,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,admitted_energy_kwh,8188.599506668662,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,peak_queued_energy_kwh,1027.8569354563917,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,mean_queued_energy_kwh,521.0215020095965,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,final_queued_energy_kwh,80.5462848938952,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,queue_cleared_by_end,0.0,0.0,1,boolean,available
proposed,grid_cap_multiplier,0.85,queue_clearance_period,,0.0,0,period_index,missing
