seed,training_seed,scenario_seed,episode,timestamp,method,hub_id,hub_index,hub,period,price,arrivals,outside_share,wait_min,wait_excess_min,requested_energy_kwh,served_energy_kwh,unmet_energy_kwh,pv_used_kwh,pv_to_ev_kwh,battery_charge_kwh,battery_discharge_kwh,soc,grid_import_kwh,grid_limit_kwh,grid_utilization,grid_price_gbp_per_kwh,revenue_gbp,energy_cost_gbp,operating_cost_gbp,profit_gbp,access_mean_min,route_mean_min,detour_mean_min,outside_cost_estimate,outside_nll,reward,welfare,energy_balance_error_kwh,outside_cost_error_for_evaluation_only,requested_energy,served_energy,unmet_energy,pv_used,pv_to_ev,battery_charge,battery_discharge,grid_import,grid_limit,grid_limit_utilization,grid_price,revenue,energy_cost,operating_cost,profit,energy_balance,wait_violation,unmet,realized_demand,weighted_hub_profit_welfare,historical_equivalent_vehicles,pending_vehicles,admission_ratio,admission_pressure,admitted_vehicles,queued_energy_start_kwh,pending_energy_kwh,admitted_energy_kwh,queued_energy_next_kwh,queue_vehicle_conservation_error,queue_energy_conservation_error_kwh,admitted_full_service_ratio,pending_full_service_ratio,axis,level
5,5,5,0,2024-09-20T21:00:00,proposed,H04,3,3,5,0.5130550861358643,2.764502350838468,0.10413301584084135,0.0,0.0,69.1125587709617,69.1125587709617,0.0,0.0,0.0,0.0,69.1125587709617,0.6589997525433191,0.0,250.0,0.0,0.2,35.458549793305735,2.073376763128851,4.146753526257702,29.238419503919186,13.989483569482323,13.989483569482323,5.282797665709511,13.538897993555434,0.35746103208977625,2.68554818233162,268.554818233162,1.4210854715202004e-14,-2.961102006444566,69.1125587709617,69.1125587709617,0.0,0.0,0.0,0.0,69.1125587709617,0.0,250.0,0.0,0.2,35.458549793305735,2.073376763128851,4.146753526257702,29.238419503919186,1.4210854715202004e-14,0.0,0.0,2.764502350838468,268.554818233162,0.0,2.764502350838468,1.0,0.3455627938548085,2.764502350838468,0.0,69.1125587709617,69.1125587709617,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.22
5,5,5,0,2024-09-20T21:00:00,proposed,H05,4,4,5,0.5760349035263062,1.6017490037080737,0.10413301584084135,0.0,0.0,40.04372509270184,40.04372509270184,0.0,0.0,0.0,0.0,40.04372509270184,0.8656974208574697,0.0,500.0,0.0,0.2,23.06658332060843,1.2013117527810553,2.4026235055621106,19.462648062265263,16.940203282058654,16.940203282058654,8.1960126370529,13.538897993555434,0.35746103208977625,2.68554818233162,268.554818233162,2.842170943040401e-14,-2.961102006444566,40.04372509270184,40.04372509270184,0.0,0.0,0.0,0.0,40.04372509270184,0.0,500.0,0.0,0.2,23.06658332060843,1.2013117527810553,2.4026235055621106,19.462648062265263,2.842170943040401e-14,0.0,0.0,1.6017490037080737,268.554818233162,0.0,1.6017490037080737,1.0,0.10010931273175461,1.6017490037080737,0.0,40.04372509270184,40.04372509270184,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.22
5,5,5,0,2024-09-20T21:00:00,proposed,H06,5,5,5,0.4906388521194458,3.2316242293971973,0.10413301584084135,0.0,0.0,80.79060573492991,80.79060573492991,0.0,0.0,0.0,0.0,80.79060573492991,0.8082620952018774,0.0,700.0,0.0,0.2,39.63901005982073,2.4237181720478973,4.8474363440957955,32.36785554367703,13.507700160324422,13.507700160324422,4.942962249616448,13.538897993555434,0.35746103208977625,2.68554818233162,268.554818233162,1.4210854715202004e-14,-2.961102006444566,80.79060573492991,80.79060573492991,0.0,0.0,0.0,0.0,80.79060573492991,0.0,700.0,0.0,0.2,39.63901005982073,2.4237181720478973,4.8474363440957955,32.36785554367703,1.4210854715202004e-14,0.0,0.0,3.2316242293971973,268.554818233162,0.0,3.2316242293971973,1.0,0.20197651433732483,3.2316242293971973,0.0,80.79060573492991,80.79060573492991,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.22
5,5,5,0,2024-09-20T21:00:00,proposed,H07,6,6,5,0.5671306848526001,2.6294496627643076,0.10413301584084135,0.0,0.0,65.7362415691077,65.7362415691077,0.0,0.0,0.0,0.0,65.7362415691077,0.7193465208101484,0.0,350.0,0.0,0.2,37.28103970072401,1.9720872470732311,3.9441744941464614,31.364777959504313,10.327787965243608,10.327787965243608,1.7178648740974105,13.538897993555434,0.35746103208977625,2.68554818233162,268.554818233162,0.0,-2.961102006444566,65.7362415691077,65.7362415691077,0.0,0.0,0.0,0.0,65.7362415691077,0.0,350.0,0.0,0.2,37.28103970072401,1.9720872470732311,3.9441744941464614,31.364777959504313,0.0,0.0,0.0,2.6294496627643076,268.554818233162,0.0,2.6294496627643076,1.0,0.21912080523035896,2.6294496627643076,0.0,65.7362415691077,65.7362415691077,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.22
5,5,5,0,2024-09-20T21:00:00,proposed,H08,7,7,5,0.46781641244888306,4.681761136166063,0.10413301584084135,0.0,0.0,117.04402840415158,117.04402840415158,0.0,0.0,0.0,0.0,117.04402840415158,0.7035915191491546,0.0,500.0,0.0,0.2,54.75511746659536,3.511320852124547,7.022641704249095,44.22115491022171,9.818933364089016,9.818933364089016,1.3175323457653074,13.538897993555434,0.35746103208977625,2.68554818233162,268.554818233162,0.0,-2.961102006444566,117.04402840415158,117.04402840415158,0.0,0.0,0.0,0.0,117.04402840415158,0.0,500.0,0.0,0.2,54.75511746659536,3.511320852124547,7.022641704249095,44.22115491022171,0.0,0.0,0.0,4.681761136166063,268.554818233162,0.0,4.681761136166063,1.0,0.29261007101037895,4.681761136166063,0.0,117.04402840415158,117.04402840415158,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.22
5,5,5,0,2024-09-20T16:00:00,proposed,H01,0,0,0,0.46856242418289185,13.569897406208103,0.09894400797841561,41.77423054656077,26.774230546560773,339.2474351552026,200.00000000000003,0.0,44.0,44.0,84.21052631578947,0.0,0.95,240.21052631578948,250.0,0.9608421052631579,0.16,93.71248483657838,38.653684210526315,12.0,43.05880062605207,10.671697032343031,10.671697032343031,2.061567654017413,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,0.0,-2.961102006444566,339.2474351552026,200.00000000000003,0.0,44.0,44.0,84.21052631578947,0.0,240.21052631578948,250.0,0.9608421052631579,0.16,93.71248483657838,38.653684210526315,12.0,43.05880062605207,0.0,0.4462371757760129,0.0,13.569897406208103,408.901346053231,0.0,13.569897406208103,0.5895401977276611,1.6962371757760129,8.0,0.0,339.2474351552026,200.00000000000003,139.24743515520257,0.0,0.0,1.0,0.5895401977276611,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H02,1,1,0,0.5294427871704102,8.72316295475144,0.09894400797841561,5.423722160635807,0.0,218.07907386878605,200.00000000000003,0.0,33.0,33.0,82.99999999999997,0.0,0.8942499999999999,250.0,250.0,1.0,0.16,105.88855743408205,40.165,12.0,53.72355743408204,10.56962320456964,10.56962320456964,1.887665446893839,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,0.0,-2.961102006444566,218.07907386878605,200.00000000000003,0.0,33.0,33.0,82.99999999999997,0.0,250.0,250.0,1.0,0.16,105.88855743408205,40.165,12.0,53.72355743408204,0.0,0.0,0.0,8.72316295475144,408.901346053231,0.0,8.72316295475144,0.9170985388553885,1.09039536934393,8.0,0.0,218.07907386878605,200.00000000000003,18.079073868786026,0.0,0.0,1.0,0.9170985388553885,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H03,2,2,0,0.5401561260223389,8.138103492767579,0.09894400797841561,0.0,0.0,203.4525873191895,203.4525873191895,0.0,33.0,33.0,110.52631578947368,0.0,0.95,280.9789031086632,350.0,0.802796866024752,0.16,109.89616139555503,45.12162449738611,12.20715523915137,52.56738165901755,10.623202337247001,10.623202337247001,1.8464420801487431,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,0.0,-2.961102006444566,203.4525873191895,203.4525873191895,0.0,33.0,33.0,110.52631578947368,0.0,280.9789031086632,350.0,0.802796866024752,0.16,109.89616139555503,45.12162449738611,12.20715523915137,52.56738165901755,0.0,0.0,0.0,8.138103492767579,408.901346053231,0.0,8.138103492767579,1.0,0.6781752910639649,8.138103492767579,0.0,203.4525873191895,203.4525873191895,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H04,3,3,0,0.497302770614624,8.588395450366141,0.09894400797841561,4.412965877746058,0.0,214.7098862591535,199.99999999999997,0.0,44.0,44.0,78.94736842105263,0.0,0.95,234.9473684210526,250.0,0.9397894736842104,0.16,99.46055412292479,37.81157894736842,12.0,49.64897517555637,13.510872380096197,13.510872380096197,4.5811339190869145,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,0.0,-2.961102006444566,214.7098862591535,199.99999999999997,0.0,44.0,44.0,78.94736842105263,0.0,234.9473684210526,250.0,0.9397894736842104,0.16,99.46055412292479,37.81157894736842,12.0,49.64897517555637,0.0,0.0,0.0,8.588395450366141,408.901346053231,0.0,8.588395450366141,0.9314894785915969,1.0735494312957676,8.0,0.0,214.7098862591535,199.99999999999997,14.709886259153535,0.0,0.0,1.0,0.9314894785915969,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H05,4,4,0,0.5716525912284851,3.8632344965339804,0.09894400797841561,0.0,0.0,96.58086241334951,96.58086241334951,0.0,82.5,82.5,131.57894736842107,0.0,0.95,145.65980978177058,500.0,0.29131961956354113,0.16,55.21070026167305,23.718069565083294,5.794851744800971,25.697778951788784,16.06277994472722,16.06277994472722,7.05809904134896,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,1.4210854715202004e-14,-2.961102006444566,96.58086241334951,96.58086241334951,0.0,82.5,82.5,131.57894736842107,0.0,145.65980978177058,500.0,0.29131961956354113,0.16,55.21070026167305,23.718069565083294,5.794851744800971,25.697778951788784,1.4210854715202004e-14,0.0,0.0,3.8632344965339804,408.901346053231,0.0,3.8632344965339804,1.0,0.24145215603337378,3.8632344965339804,0.0,96.58086241334951,96.58086241334951,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H06,5,5,0,0.48814189434051514,9.246740364253915,0.09894400797841561,0.0,0.0,231.1685091063479,231.1685091063479,0.0,110.0,110.0,126.31578947368422,0.0,0.95,247.48429858003212,700.0,0.35354899797147443,0.16,112.84303394704529,40.147487772805135,13.870110546380872,58.82543562785928,13.493626944218693,13.493626944218693,4.756025034403015,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,0.0,-2.961102006444566,231.1685091063479,231.1685091063479,0.0,110.0,110.0,126.31578947368422,0.0,247.48429858003212,700.0,0.35354899797147443,0.16,112.84303394704529,40.147487772805135,13.870110546380872,58.82543562785928,0.0,0.0,0.0,9.246740364253915,408.901346053231,0.0,9.246740364253915,1.0,0.5779212727658697,9.246740364253915,0.0,231.1685091063479,231.1685091063479,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H07,6,6,0,0.5586836338043213,7.3706298270118875,0.09894400797841561,0.0,0.0,184.2657456752972,184.2657456752972,0.0,27.5,27.5,126.31578947368422,0.0,0.95,283.0815351489814,350.0,0.8088043861399469,0.16,102.94625637953794,45.43054562383703,11.05594474051783,46.459766015183085,10.209972367915828,10.209972367915828,1.3972789990326087,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,0.0,-2.961102006444566,184.2657456752972,184.2657456752972,0.0,27.5,27.5,126.31578947368422,0.0,283.0815351489814,350.0,0.8088043861399469,0.16,102.94625637953794,45.43054562383703,11.05594474051783,46.459766015183085,0.0,0.0,0.0,7.3706298270118875,408.901346053231,0.0,7.3706298270118875,1.0,0.6142191522509907,7.3706298270118875,0.0,184.2657456752972,184.2657456752972,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T16:00:00,proposed,H08,7,7,0,0.4315682053565979,19.4053092294371,0.09894400797841561,12.76990961038913,0.0,485.1327307359275,400.0,0.0,99.0,0.0,131.57894736842104,0.0,0.95,432.57894736842104,500.0,0.8651578947368421,0.16,172.62728214263916,69.70763157894737,24.0,78.91965056369179,9.990778443638007,9.990778443638007,1.327438019115203,13.538897993555434,0.3670823818986013,3.553528849601095,408.901346053231,1.4210854715202004e-14,-2.961102006444566,485.1327307359275,400.0,0.0,99.0,0.0,131.57894736842104,0.0,432.57894736842104,500.0,0.8651578947368421,0.16,172.62728214263916,69.70763157894737,24.0,78.91965056369179,1.4210854715202004e-14,0.0,0.0,19.4053092294371,408.901346053231,0.0,19.4053092294371,0.8245166212413982,1.2128318268398188,16.0,0.0,485.1327307359275,400.0,85.13273073592751,0.0,0.0,1.0,0.8245166212413982,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T17:00:00,proposed,H01,0,0,1,0.45934993028640747,0.6923098461504571,0.15985911810032694,0.0,0.0,17.307746153761425,156.555181308964,0.0,28.0,28.0,0.0,0.0,0.95,128.555181308964,250.0,0.5142207252358559,0.22,71.91361162024849,28.42213988797208,9.39331087853784,34.09816085373857,9.99252013980483,9.99252013980483,1.6789312978928796,13.538897993555434,0.5033916381185332,5.064902110263765,540.5829092662884,0.0,-2.961102006444566,17.307746153761425,156.555181308964,0.0,28.0,28.0,0.0,0.0,128.555181308964,250.0,0.5142207252358559,0.22,71.91361162024849,28.42213988797208,9.39331087853784,34.09816085373857,0.0,0.0,0.0,0.6923098461504571,540.5829092662884,5.569897406208103,6.26220725235856,1.0,0.78277590654482,6.26220725235856,139.24743515520257,156.555181308964,156.555181308964,0.0,0.0,0.0,1.0,1.0,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T17:00:00,proposed,H02,1,1,1,0.5277293920516968,10.914651211477652,0.15985911810032694,27.2836062467182,12.2836062467182,272.86628028694133,200.00000000000006,0.0,21.0,21.0,11.736842105263195,0.0,0.95,190.73684210526326,250.0,0.762947368421053,0.22,105.54587841033938,42.06710526315791,12.0,51.47877314718147,10.067260241233708,10.067260241233708,1.657489060252099,13.538897993555434,0.5033916381185332,5.064902110263765,540.5829092662884,0.0,-2.961102006444566,272.86628028694133,200.00000000000006,0.0,21.0,21.0,11.736842105263195,0.0,190.73684210526326,250.0,0.762947368421053,0.22,105.54587841033938,42.06710526315791,12.0,51.47877314718147,0.0,0.20472677077863669,0.0,10.914651211477652,540.5829092662884,0.7231629547514409,11.637814166229093,0.6874143104307856,1.4547267707786367,8.0,18.079073868786026,290.9453541557274,200.00000000000006,90.94535415572733,0.0,0.0,1.0,0.6874143104307856,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T17:00:00,proposed,H03,2,2,1,0.5429413318634033,15.203611558899464,0.15985911810032694,16.018057794497317,1.0180577944973157,380.09028897248663,300.0,0.0,21.0,21.0,0.0,0.0,0.95,279.0,350.0,0.7971428571428572,0.22,162.882399559021,61.485,18.0,83.397399559021,10.675990346280438,10.675990346280438,2.1779981622553644,13.538897993555434,0.5033916381185332,5.064902110263765,540.5829092662884,0.0,-2.961102006444566,380.09028897248663,300.0,0.0,21.0,21.0,0.0,0.0,279.0,350.0,0.7971428571428572,0.22,162.882399559021,61.485,18.0,83.397399559021,0.0,0.016967629908288595,0.0,15.203611558899464,540.5829092662884,0.0,15.203611558899464,0.789286147801887,1.2669676299082886,12.0,0.0,380.09028897248663,300.0,80.09028897248663,-5.551115123125783e-17,0.0,1.0,0.789286147801887,inverse_cost_sensitivity,0.3
5,5,5,0,2024-09-20T17:00:00,proposed,H04,3,3,1,0.5057422518730164,9.910895893465915,0.15985911810032694,18.744685078740417,3.7446850787404173,247.77239733664788,200.0,0.0,28.0,28.0,0.0,0.0,0.95,172.0,250.0,0.688,0.22,101.14845037460327,37.980000000000004,12.0,51.16845037460327,14.030611251549793,14.030611251549793,5.409917612182404,13.538897993555434,0.5033916381185332,5.064902110263765,540.5829092662884,0.0,-2.961102006444566,247.77239733664788,200.0,0.0,28.0,28.0,0.0,0.0,172.0,250.0,0.688,0.22,101.14845037460327,37.980000000000004,12.0,51.16845037460327,0.0,0.062411417979006956,0.0,9.910895893465915,540.5829092662884,0.588395450366141,10.499291343832056,0.761956187138259,1.312411417979007,8.0,14.709886259153535,262.4822835958014,200.0,62.48228359580139,0.0,0.0,1.0,0.761956187138259,inverse_cost_sensitivity,0.3
