method,metric,mean,std,mean_plus_minus_std,n,unit,availability,missing_reason
proposed,admitted_requests,328.47587756210794,0.0,328.476 ± 0,3,requests,available,
proposed,admission_ratio,0.7307833083355378,0.0,0.730783 ± 0,3,fraction,available,
proposed,minimum_admission_ratio,0.2331088940115683,0.0,0.233109 ± 0,3,fraction,available,
proposed,peak_admission_pressure,4.289840609643893,0.0,4.28984 ± 0,3,pending_over_capacity,available,
proposed,admitted_full_service_ratio,1.0000000000000002,0.0,1 ± 0,3,fraction,available,
proposed,pending_full_service_ratio,0.7307833083355378,1.3597399555105182e-16,0.730783 ± 1.35974e-16,3,fraction,available,
proposed,mean_wait_min,42.62384051590621,0.0,42.6238 ± 0,3,min,available,
proposed,p95_wait_min,90.50894611911092,1.7404671430534633e-14,90.5089 ± 1.74047e-14,3,min,available,
proposed,max_wait_min,197.3904365786336,0.0,197.39 ± 0,3,min,available,
proposed,wait_violation_rate,0.2291666666666666,0.0,0.229167 ± 0,3,fraction,available,
proposed,mean_wait_excess_min,34.2947209608329,0.0,34.2947 ± 0,3,min,available,
proposed,pending_energy_kwh,11237.11618120624,2.227797943108433e-12,11237.1 ± 2.2278e-12,3,kWh,available,
proposed,admitted_energy_kwh,8211.8969390527,0.0,8211.9 ± 0,3,kWh,available,
proposed,unmet_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
proposed,peak_queued_energy_kwh,997.4441104469364,0.0,997.444 ± 0,3,kWh,available,
proposed,mean_queued_energy_kwh,504.20320702558973,6.961868572213853e-14,504.203 ± 6.96187e-14,3,kWh,available,
proposed,final_queued_energy_kwh,57.9687183060241,0.0,57.9687 ± 0,3,kWh,available,
proposed,queue_cleared_by_end,0.0,0.0,0 ± 0,3,boolean,available,
proposed,queue_clearance_period,,,NaN,0,period_index,missing,no_finite_values
proposed,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,2.22045e-16 ± 0,3,hours,available,
proposed,max_queue_energy_conservation_error_kwh,0.0,0.0,0 ± 0,3,kWh,available,
proposed,grid_energy_kwh,7406.09408700046,0.0,7406.09 ± 0,3,kWh,available,
proposed,peak_grid_import_kwh,1884.6950409800031,0.0,1884.7 ± 0,3,kWh_per_period,available,
proposed,pv_utilization,1.0,0.0,1 ± 0,3,fraction,available,
proposed,battery_throughput_kwh,1628.2239046838183,0.0,1628.22 ± 0,3,kWh,available,
proposed,energy_cost_gbp,1862.1711450854853,0.0,1862.17 ± 0,3,GBP,available,
proposed,mean_access_min,11.11602534872411,0.0,11.116 ± 0,3,min,available,
proposed,p95_access_min,12.156571294098796,0.0,12.1566 ± 0,3,min,available,
proposed,mean_detour_min,2.5469857691278928,0.0,2.54699 ± 0,3,min,available,
proposed,p95_detour_min,3.625425148153513,0.0,3.62543 ± 0,3,min,available,
proposed,outside_mae,2.961102006444566,0.0,2.9611 ± 0,3,GBP,available,
proposed,outside_nll,0.6050978685847124,0.0,0.605098 ± 0,3,nll,available,
proposed,approx_unilateral_gain,,,NaN,0,scaled_local_reward,missing,no_finite_values
proposed,centralized_reference_difference,3.63310723895242,0.0,3.63311 ± 0,3,scaled_reward,available,
proposed,exact_oracle_gap,,,NaN,0,scaled_reward,missing,no_finite_values
mappo_no_inference,return,6.263437132705711,0.0,6.26344 ± 0,3,scaled_reward,available,
mappo_no_inference,profit_gbp,1780.2559676014398,0.0,1780.26 ± 0,3,GBP,available,
mappo_no_inference,weighted_hub_profit_welfare,1780.25596760144,0.0,1780.26 ± 0,3,GBP_weighted_hub_profit,available,
mappo_no_inference,served_requests,327.9762606443702,0.0,327.976 ± 0,3,requests,available,
mappo_no_inference,outside_share,0.1399828002699526,0.0,0.139983 ± 0,3,fraction,available,
mappo_no_inference,pending_requests,444.56499133134713,0.0,444.565 ± 0,3,requests,available,
mappo_no_inference,admitted_requests,327.9762606443702,0.0,327.976 ± 0,3,requests,available,
mappo_no_inference,admission_ratio,0.7377464871045593,0.0,0.737746 ± 0,3,fraction,available,
mappo_no_inference,minimum_admission_ratio,0.2405000387775886,0.0,0.2405 ± 0,3,fraction,available,
mappo_no_inference,peak_admission_pressure,4.158003487578592,0.0,4.158 ± 0,3,pending_over_capacity,available,
mappo_no_inference,admitted_full_service_ratio,1.0,0.0,1 ± 0,3,fraction,available,
mappo_no_inference,pending_full_service_ratio,0.7377464871045593,0.0,0.737746 ± 0,3,fraction,available,
mappo_no_inference,mean_wait_min,40.26252365958982,0.0,40.2625 ± 0,3,min,available,
mappo_no_inference,p95_wait_min,86.72372860074692,0.0,86.7237 ± 0,3,min,available,
mappo_no_inference,max_wait_min,189.4802092547155,0.0,189.48 ± 0,3,min,available,
mappo_no_inference,wait_violation_rate,0.2083333333333333,0.0,0.208333 ± 0,3,fraction,available,
mappo_no_inference,mean_wait_excess_min,32.04214960420392,0.0,32.0421 ± 0,3,min,available,
mappo_no_inference,pending_energy_kwh,11114.124783283676,2.227797943108433e-12,11114.1 ± 2.2278e-12,3,kWh,available,
mappo_no_inference,admitted_energy_kwh,8199.406516109255,0.0,8199.41 ± 0,3,kWh,available,
mappo_no_inference,unmet_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
mappo_no_inference,peak_queued_energy_kwh,993.9707914160284,0.0,993.971 ± 0,3,kWh,available,
mappo_no_inference,mean_queued_energy_kwh,485.78637786240375,0.0,485.786 ± 0,3,kWh,available,
mappo_no_inference,final_queued_energy_kwh,31.603098207096508,0.0,31.6031 ± 0,3,kWh,available,
mappo_no_inference,queue_cleared_by_end,0.0,0.0,0 ± 0,3,boolean,available,
mappo_no_inference,queue_clearance_period,,,NaN,0,period_index,missing,no_finite_values
mappo_no_inference,max_queue_vehicle_conservation_error,4.440892098500626e-16,0.0,4.44089e-16 ± 0,3,hours,available,
